LifeExpectancy_Both,LifeExpectancy_Female,LifeExpectancy_Male,UrbanPopulation_Absolute,UrbanPopulation_Percentage,PopulationDensity,Country
71.5,74.6,68.9,61573,61.6,256,St. Vincent & Grenadines
73.1,76.9,69.7,4707958,84.2,929,State of Palestine
66.7,70.0,63.6,18220482,35.3,29,Sudan
73.9,77.1,70.7,399428,62.4,4,Suriname
83.6,85.3,81.8,9309134,87.4,26,Sweden
84.2,86.1,82.3,6668094,74.4,227,Switzerland
73.0,75.4,70.6,13735765,53.6,140,Syria
80.9,83.9,78.1,19421267,84.0,653,Taiwan
72.1,74.3,69.8,2987515,27.7,77,Tajikistan
67.4,70.2,64.6,28244987,40.0,80,Tanzania
76.8,81.2,72.6,38343775,53.5,140,Thailand
68.1,69.9,66.5,510529,36.0,95,Timor-Leste
63.1,63.4,62.9,4295574,44.2,179,Togo
73.2,76.7,69.6,26950,26.0,144,Tonga
73.7,77.0,70.6,741616,49.1,295,Trinidad and Tobago
76.9,79.5,74.3,8853818,71.7,79,Tunisia
77.8,80.8,74.9,67446349,76.9,114,Turkey
70.3,73.2,67.1,3540511,46.5,16,Turkmenistan
75.9,81.6,70.9,0,0.0,240,U.S. Virgin Islands
68.7,71.6,65.7,15430672,30.0,257,Uganda
74.9,79.5,70.0,29923619,76.8,67,Ukraine
83.2,84.4,82.4,9207088,81.1,136,United Arab Emirates
81.6,83.4,79.7,58798650,84.5,287,United Kingdom
79.6,82.1,77.2,287421363,82.8,38,United States
78.5,82.2,74.6,0,0.0,19,Uruguay
72.7,75.7,69.7,17835913,48.1,87,Uzbekistan
71.8,74.3,69.7,85244,25.4,27,Vanuatu
72.8,76.8,69.1,0,0.0,32,Venezuela
74.9,79.5,70.2,42039428,41.4,328,Vietnam
71.8,74.0,70.1,583007,97.0,2,Western Sahara
69.6,71.7,67.5,13801674,33.0,79,Yemen
66.7,69.1,64.3,10256668,46.8,29,Zambia
63.3,65.6,60.8,6429761,37.9,44,Zimbabwe
