New,Old
Antigua And Barbuda,Antigua and Barbuda
Bosnia And Herzegovina,Bosnia and Herzegovina
Brunei,Brunei 
Côte D'Ivoire,Côte d'Ivoire
Dr Congo,DR Congo
State Of Palestine,State of Palestine
Trinidad And Tobago,Trinidad and Tobago
