Country,LifeExpectancy_Both,LifeExpectancy_Female,LifeExpectancy_Male,UrbanPopulation_Absolute,UrbanPopulation_Percentage,PopulationDensity
Malawi,67.7,71.0,64.4,4407124,19.8,236
Malaysia,77.0,79.7,74.6,27844592,77.4,110
Maldives,81.5,83.2,80.2,209810,39.6,766
Mali,60.9,62.4,59.5,11190626,44.4,21
Malta,83.6,85.5,81.7,417398,76.5,704
Martinique,82.9,85.8,79.6,0,0.0,321
Mauritania,68.9,71.0,66.9,3206736,60.3,5
Mauritius,75.3,78.5,72.3,526689,41.5,625
Mayotte,76.4,78.7,74.4,139411,41.4,899
Mexico,75.4,78.2,72.6,115925945,87.9,68
Micronesia,71.8,74.8,69.0,26661,23.5,162
Moldova,71.5,75.8,66.8,1729211,57.7,91
Mongolia,72.2,76.9,67.8,2362934,67.2,2
Montenegro,77.4,80.6,74.1,434519,68.7,47
Morocco,75.7,78.0,73.5,25869035,67.3,86
Mozambique,64.0,66.9,60.7,14810679,41.6,45
Myanmar,67.3,70.6,64.2,18722491,34.1,84
Namibia,67.7,71.6,63.6,1683548,54.4,4
Nepal,70.9,72.4,69.3,7265589,24.5,207
Netherlands,82.4,84.0,80.9,16318658,88.9,544
New Caledonia,79.1,81.5,76.6,223627,75.7,16
New Zealand,82.4,84.0,80.8,4388310,83.6,20
Nicaragua,75.3,77.7,72.6,4071293,58.1,58
Niger,61.7,62.7,60.7,5067678,18.2,22
Nigeria,54.8,55.1,54.5,130312056,54.9,261
North Korea,73.9,76.0,71.7,16815725,63.3,221
North Macedonia,77.7,79.8,75.4,1258951,69.4,72
Norway,83.6,85.1,82.1,4830373,85.9,15
Oman,80.5,82.2,78.9,4989686,90.8,18
Pakistan,67.9,70.5,65.6,87777053,34.4,331
Panama,80.0,82.8,77.1,3229574,70.7,61
Papua New Guinea,66.4,69.3,63.9,1351201,12.6,24
Paraguay,74.1,77.2,71.1,4770669,68.0,18
Peru,78.1,80.5,75.8,27880400,80.6,27
Philippines,70.1,73.1,67.1,57606092,49.3,392
Poland,79.0,82.6,75.3,22598335,59.2,125
Portugal,82.7,85.4,79.9,6926293,66.5,114
Puerto Rico,82.1,85.5,78.5,0,0.0,365
Qatar,82.7,83.6,82.0,3010901,96.6,268
Réunion,83.8,86.6,80.8,0,0.0,353
Romania,76.2,79.8,72.7,10431178,55.2,82
Russia,73.5,79.3,67.7,108062384,75.0,9
Rwanda,68.2,70.4,65.9,2659944,18.3,591
Saint Lucia,73.0,76.6,69.6,35853,19.9,295
Samoa,71.9,74.0,70.1,35747,16.3,77
Sao Tome & Principe,70.1,74.1,66.6,187994,78.2,250
Saudi Arabia,79.2,81.5,77.6,31842626,92.1,16
Senegal,69.2,71.3,67.2,9903731,52.3,98
Serbia,77.1,80.3,73.9,4923756,73.6,76
Seychelles,73.1,76.8,70.2,58120,43.8,289
